年月,customer_id,count_0,count_1,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,min,routine_flg,calc_date,membership_period,exit_date,period,now_date
201809,HD484088,6,4.0,XXXXX,C01,M,2015-10-01,,CA1,0.0,オールタイム,10500.0,通常,4.333333333333333,4.0,6.0,3.0,1.0,2019-04-30,42.0,,35,2018-09-01
201812,AS588076,4,5.0,XXXX,C03,M,2017-10-01,,CA1,0.0,ナイト,6000.0,通常,5.75,5.5,11.0,3.0,1.0,2019-04-30,18.0,,14,2018-12-01
201903,HI486531,3,6.0,XXXX,C03,F,2017-10-01,,CA1,0.0,ナイト,6000.0,通常,6.5,6.0,9.0,3.0,1.0,2019-04-30,18.0,,17,2019-03-01
201806,PL815569,4,5.0,XXXX,C02,F,2015-06-01,,CA1,0.0,デイタイム,7500.0,通常,4.25,4.5,6.0,2.0,1.0,2019-04-30,46.0,,36,2018-06-01
201903,GD710390,3,1.0,XXXXXX,C01,F,2016-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,4.416666666666667,5.0,8.0,1.0,1.0,2019-04-30,33.0,,32,2019-03-01
201810,HD351414,5,3.0,XXX,C01,F,2016-05-01,,CA1,0.0,オールタイム,10500.0,通常,5.166666666666667,5.0,7.0,3.0,1.0,2019-04-30,35.0,,29,2018-10-01
201811,OA694885,6,4.0,XXXXX,C01,F,2016-05-01,,CA1,0.0,オールタイム,10500.0,通常,3.6666666666666665,3.0,6.0,2.0,1.0,2019-04-30,35.0,,30,2018-11-01
201901,GD796301,4,4.0,XXXXX,C01,F,2017-08-01,,CA2,0.0,オールタイム,10500.0,入会費半額,6.083333333333333,7.0,9.0,3.0,1.0,2019-04-30,20.0,,17,2019-01-01
201903,OA401352,3,2.0,XXXX,C02,M,2016-06-01,,CA1,0.0,デイタイム,7500.0,通常,4.666666666666667,5.0,8.0,2.0,1.0,2019-04-30,34.0,,33,2019-03-01
201810,AS994696,3,6.0,XXXXX,C01,M,2016-05-01,,CA1,0.0,オールタイム,10500.0,通常,4.833333333333333,5.0,7.0,3.0,1.0,2019-04-30,35.0,,29,2018-10-01
201808,HI615379,5,8.0,XXXXX,C01,M,2017-01-01,,CA1,0.0,オールタイム,10500.0,通常,5.166666666666667,5.0,8.0,3.0,1.0,2019-04-30,27.0,,19,2018-08-01
201811,IK747199,6,5.0,XXXXX,C01,F,2017-01-01,,CA1,0.0,オールタイム,10500.0,通常,4.583333333333333,4.5,7.0,2.0,1.0,2019-04-30,27.0,,22,2018-11-01
201810,PL166709,3,6.0,XXXXX,C02,F,2017-11-01,,CA1,0.0,デイタイム,7500.0,通常,5.833333333333333,6.0,8.0,3.0,1.0,2019-04-30,17.0,,11,2018-10-01
201808,HI431223,6,6.0,XXX,C01,F,2017-04-01,,CA1,0.0,オールタイム,10500.0,通常,5.25,5.0,8.0,3.0,1.0,2019-04-30,24.0,,16,2018-08-01
201902,GD489324,6,8.0,XXX,C03,M,2019-01-11,,CA1,0.0,ナイト,6000.0,通常,7.0,7.0,8.0,6.0,1.0,2019-04-30,3.0,,0,2019-02-01
201812,AS736672,1,3.0,XXXX,C01,F,2015-09-01,,CA1,0.0,オールタイム,10500.0,通常,4.583333333333333,5.0,6.0,1.0,1.0,2019-04-30,43.0,,39,2018-12-01
201902,HI500662,10,5.0,XXXXX,C03,M,2018-02-01,,CA1,0.0,ナイト,6000.0,通常,6.666666666666667,6.0,10.0,5.0,1.0,2019-04-30,14.0,,12,2019-02-01
201809,GD413362,6,6.0,XXXXX,C03,M,2016-12-01,,CA1,0.0,ナイト,6000.0,通常,5.0,6.0,7.0,2.0,1.0,2019-04-30,28.0,,21,2018-09-01
201812,IK581952,3,3.0,XXX,C03,F,2016-06-01,,CA1,0.0,ナイト,6000.0,通常,4.083333333333333,4.0,6.0,2.0,1.0,2019-04-30,34.0,,30,2018-12-01
201903,GD537233,7,6.0,XXXX,C01,M,2016-05-01,,CA1,0.0,オールタイム,10500.0,通常,5.083333333333333,5.5,8.0,2.0,1.0,2019-04-30,35.0,,34,2019-03-01
201902,TS277035,7,3.0,XXXXXX,C01,M,2017-11-01,,CA1,0.0,オールタイム,10500.0,通常,6.583333333333333,7.0,9.0,3.0,1.0,2019-04-30,17.0,,15,2019-02-01
201811,AS385315,9,6.0,XX,C02,F,2018-01-01,,CA1,0.0,デイタイム,7500.0,通常,7.166666666666667,7.0,9.0,6.0,1.0,2019-04-30,15.0,,10,2018-11-01
201903,IK377403,7,6.0,XXXX,C01,M,2015-10-01,,CA1,0.0,オールタイム,10500.0,通常,4.416666666666667,4.5,7.0,1.0,1.0,2019-04-30,42.0,,41,2019-03-01
201808,AS207011,6,3.0,XXXX,C02,F,2017-02-01,,CA1,0.0,デイタイム,7500.0,通常,5.333333333333333,5.5,8.0,3.0,1.0,2019-04-30,26.0,,18,2018-08-01
201809,AS766856,4,3.0,XXXXX,C01,M,2016-03-01,,CA1,0.0,オールタイム,10500.0,通常,4.166666666666667,4.0,7.0,2.0,1.0,2019-04-30,37.0,,30,2018-09-01
201903,OA470195,3,3.0,XXXX,C01,M,2016-06-01,,CA1,0.0,オールタイム,10500.0,通常,5.333333333333333,5.0,8.0,3.0,1.0,2019-04-30,34.0,,33,2019-03-01
201810,IK516783,6,7.0,XXXXX,C01,M,2017-05-01,,CA1,0.0,オールタイム,10500.0,通常,6.5,6.0,10.0,3.0,1.0,2019-04-30,23.0,,17,2018-10-01
201902,HD893931,5,9.0,XXX,C03,F,2017-05-01,,CA1,0.0,ナイト,6000.0,通常,6.083333333333333,5.5,9.0,3.0,1.0,2019-04-30,23.0,,21,2019-02-01
201903,AS706877,4,8.0,XX,C03,M,2017-09-01,,CA1,0.0,ナイト,6000.0,通常,6.333333333333333,6.0,9.0,4.0,1.0,2019-04-30,19.0,,18,2019-03-01
201809,IK986467,6,5.0,XX,C02,F,2015-11-01,,CA1,0.0,デイタイム,7500.0,通常,4.666666666666667,5.0,6.0,3.0,1.0,2019-04-30,41.0,,34,2018-09-01
201811,TS718154,5,2.0,XXXX,C01,M,2015-09-01,,CA1,0.0,オールタイム,10500.0,通常,4.583333333333333,4.5,7.0,2.0,1.0,2019-04-30,43.0,,38,2018-11-01
201805,PL628468,8,5.0,XXXX,C03,M,2017-02-01,,CA1,0.0,ナイト,6000.0,通常,6.083333333333333,6.5,9.0,3.0,1.0,2019-04-30,26.0,,15,2018-05-01
201807,AS534058,6,5.0,XXXX,C01,M,2016-04-01,,CA1,0.0,オールタイム,10500.0,通常,4.083333333333333,3.5,6.0,3.0,1.0,2019-04-30,36.0,,27,2018-07-01
201810,HI896174,8,8.0,XXXX,C01,F,2016-10-01,,CA1,0.0,オールタイム,10500.0,通常,5.5,5.0,8.0,4.0,1.0,2019-04-30,30.0,,24,2018-10-01
201808,AS642796,6,4.0,XXXXXX,C01,M,2016-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,4.0,3.5,6.0,2.0,1.0,2019-04-30,33.0,,25,2018-08-01
201812,HI764799,6,6.0,XXX,C01,M,2016-04-01,,CA1,0.0,オールタイム,10500.0,通常,4.333333333333333,4.5,6.0,2.0,1.0,2019-04-30,36.0,,32,2018-12-01
201808,IK429268,10,7.0,XXXX,C02,F,2018-04-06,,CA3,0.0,デイタイム,7500.0,入会費無料,7.5,7.0,10.0,6.0,1.0,2019-04-30,12.0,,3,2018-08-01
201812,OA854705,4,3.0,XXXXX,C01,M,2016-01-01,,CA1,0.0,オールタイム,10500.0,通常,4.583333333333333,4.5,7.0,2.0,1.0,2019-04-30,39.0,,35,2018-12-01
201806,OA038299,4,5.0,XXXXX,C01,F,2016-11-01,,CA1,0.0,オールタイム,10500.0,通常,4.916666666666667,5.0,8.0,2.0,1.0,2019-04-30,29.0,,19,2018-06-01
201901,HI819179,7,7.0,XXXXX,C01,M,2018-07-09,,CA1,0.0,オールタイム,10500.0,通常,8.11111111111111,8.0,10.0,7.0,1.0,2019-04-30,9.0,,5,2019-01-01
201811,GD979485,5,6.0,XXXXX,C01,M,2017-09-01,,CA1,0.0,オールタイム,10500.0,通常,5.583333333333333,5.5,7.0,4.0,1.0,2019-04-30,19.0,,14,2018-11-01
201807,OA737164,4,4.0,XX,C01,M,2017-05-01,,CA1,0.0,オールタイム,10500.0,通常,5.333333333333333,5.0,8.0,3.0,1.0,2019-04-30,23.0,,14,2018-07-01
201811,HD849426,7,5.0,XX,C03,M,2017-08-01,,CA2,0.0,ナイト,6000.0,入会費半額,6.416666666666667,6.5,9.0,5.0,1.0,2019-04-30,20.0,,15,2018-11-01
201809,TS184897,4,3.0,XXX,C01,M,2016-06-01,,CA1,0.0,オールタイム,10500.0,通常,4.416666666666667,4.5,6.0,3.0,1.0,2019-04-30,34.0,,27,2018-09-01
201806,PL959416,6,7.0,XXXXX,C02,F,2016-01-01,,CA1,0.0,デイタイム,7500.0,通常,5.083333333333333,5.0,7.0,4.0,1.0,2019-04-30,39.0,,29,2018-06-01
201901,PL342449,5,6.0,XX,C02,F,2015-06-01,,CA1,0.0,デイタイム,7500.0,通常,4.166666666666667,4.0,7.0,1.0,1.0,2019-04-30,46.0,,43,2019-01-01
201903,GD082530,5,7.0,XXXXX,C03,M,2018-05-13,,CA2,0.0,ナイト,6000.0,入会費半額,7.454545454545454,7.0,10.0,5.0,1.0,2019-04-30,11.0,,9,2019-03-01
201807,PL251182,6,3.0,XXXX,C01,M,2016-01-01,,CA1,0.0,オールタイム,10500.0,通常,5.166666666666667,5.5,7.0,3.0,1.0,2019-04-30,39.0,,30,2018-07-01
201805,IK998240,6,7.0,XXXXX,C01,F,2017-01-01,,CA1,0.0,オールタイム,10500.0,通常,6.0,6.0,8.0,5.0,1.0,2019-04-30,27.0,,16,2018-05-01
201808,AS712913,7,7.0,XXXX,C01,M,2015-09-01,,CA1,0.0,オールタイム,10500.0,通常,5.0,5.0,7.0,2.0,1.0,2019-04-30,43.0,,35,2018-08-01
201805,PL538517,6,6.0,XXXXX,C03,M,2017-01-01,,CA1,0.0,ナイト,6000.0,通常,5.25,5.0,8.0,3.0,1.0,2019-04-30,27.0,,16,2018-05-01
201809,IK988102,6,9.0,XXXXX,C01,M,2018-01-01,,CA1,0.0,オールタイム,10500.0,通常,6.416666666666667,6.5,9.0,4.0,1.0,2019-04-30,15.0,,8,2018-09-01
201805,GD341063,9,8.0,XXXXX,C01,M,2017-11-01,,CA1,0.0,オールタイム,10500.0,通常,7.333333333333333,8.0,9.0,4.0,1.0,2019-04-30,17.0,,6,2018-05-01
201811,TS735605,6,2.0,XXXXX,C02,F,2016-05-01,,CA1,0.0,デイタイム,7500.0,通常,3.5,3.5,6.0,1.0,1.0,2019-04-30,35.0,,30,2018-11-01
201809,IK795481,5,7.0,XXXXX,C01,M,2017-09-01,,CA1,0.0,オールタイム,10500.0,通常,6.5,6.0,11.0,4.0,1.0,2019-04-30,19.0,,12,2018-09-01
201812,PL587525,2,2.0,XXXXX,C01,M,2016-02-01,,CA1,0.0,オールタイム,10500.0,通常,4.25,4.0,9.0,2.0,1.0,2019-04-30,38.0,,34,2018-12-01
201809,HD921002,4,5.0,XXXX,C03,F,2016-04-01,,CA1,0.0,ナイト,6000.0,通常,4.916666666666667,5.0,7.0,2.0,1.0,2019-04-30,36.0,,29,2018-09-01
201811,IK387954,7,7.0,XX,C01,F,2017-05-01,,CA1,0.0,オールタイム,10500.0,通常,6.25,6.0,8.0,5.0,1.0,2019-04-30,23.0,,18,2018-11-01
201902,AS867281,4,4.0,XX,C02,F,2015-12-01,,CA1,0.0,デイタイム,7500.0,通常,4.583333333333333,4.0,8.0,3.0,1.0,2019-04-30,40.0,,38,2019-02-01
201903,HI103175,6,6.0,XXXXX,C01,F,2018-05-15,,CA2,0.0,オールタイム,10500.0,入会費半額,7.090909090909091,7.0,10.0,5.0,1.0,2019-04-30,11.0,,9,2019-03-01
201811,HI728364,4,4.0,XXXX,C01,M,2015-06-01,,CA1,0.0,オールタイム,10500.0,通常,4.25,4.0,7.0,2.0,1.0,2019-04-30,46.0,,41,2018-11-01
201808,GD807513,6,8.0,XXXX,C02,F,2018-06-03,,CA2,0.0,デイタイム,7500.0,入会費半額,8.4,9.0,10.0,6.0,1.0,2019-04-30,10.0,,1,2018-08-01
201812,TS151776,7,6.0,XX,C01,F,2017-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,5.416666666666667,5.0,8.0,4.0,1.0,2019-04-30,21.0,,17,2018-12-01
201805,IK359438,4,7.0,XXXXX,C03,F,2017-03-01,,CA1,0.0,ナイト,6000.0,通常,5.25,5.5,7.0,2.0,1.0,2019-04-30,25.0,,14,2018-05-01
201812,AS294655,5,4.0,XXXXXX,C02,M,2016-10-01,,CA1,0.0,デイタイム,7500.0,通常,4.75,4.0,8.0,2.0,1.0,2019-04-30,30.0,,26,2018-12-01
201805,GD649455,3,6.0,XXXXXX,C01,M,2015-11-01,,CA1,0.0,オールタイム,10500.0,通常,5.0,4.5,8.0,3.0,1.0,2019-04-30,41.0,,30,2018-05-01
201903,OA214272,4,6.0,XXXX,C02,F,2017-11-01,,CA1,0.0,デイタイム,7500.0,通常,6.833333333333333,7.0,10.0,4.0,1.0,2019-04-30,17.0,,16,2019-03-01
201812,TS200932,6,7.0,XXX,C01,F,2015-06-01,,CA1,0.0,オールタイム,10500.0,通常,4.916666666666667,5.0,7.0,2.0,1.0,2019-04-30,46.0,,42,2018-12-01
201811,HD070115,3,3.0,XXXX,C01,M,2016-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,4.166666666666667,3.5,7.0,2.0,1.0,2019-04-30,33.0,,28,2018-11-01
201811,OA245705,7,7.0,XXXXX,C02,F,2018-07-09,,CA1,0.0,デイタイム,7500.0,通常,7.222222222222222,7.0,9.0,6.0,1.0,2019-04-30,9.0,,3,2018-11-01
201809,PL053548,7,8.0,XXXXX,C01,M,2018-02-01,,CA1,0.0,オールタイム,10500.0,通常,7.583333333333333,7.0,10.0,6.0,1.0,2019-04-30,14.0,,7,2018-09-01
201901,PL704411,9,8.0,XXX,C03,F,2018-12-03,,CA3,0.0,ナイト,6000.0,入会費無料,8.0,8.5,9.0,6.0,1.0,2019-04-30,4.0,,0,2019-01-01
201903,HD194702,5,6.0,XXXX,C02,F,2015-05-01,,CA1,0.0,デイタイム,7500.0,通常,4.916666666666667,5.0,8.0,1.0,1.0,2019-04-30,47.0,,46,2019-03-01
201810,GD084870,3,5.0,XXXXX,C01,M,2015-07-01,,CA1,0.0,オールタイム,10500.0,通常,4.166666666666667,4.5,6.0,2.0,1.0,2019-04-30,45.0,,39,2018-10-01
201811,HD634356,6,6.0,XXXXX,C02,F,2018-03-01,,CA1,0.0,デイタイム,7500.0,通常,6.833333333333333,6.0,10.0,5.0,1.0,2019-04-30,13.0,,8,2018-11-01
201902,GD987989,6,9.0,XXXX,C01,M,2017-08-01,,CA2,0.0,オールタイム,10500.0,入会費半額,6.75,7.0,9.0,4.0,1.0,2019-04-30,20.0,,18,2019-02-01
201903,PL622205,4,5.0,XXX,C03,F,2017-06-01,,CA1,0.0,ナイト,6000.0,通常,5.416666666666667,5.0,9.0,3.0,1.0,2019-04-30,22.0,,21,2019-03-01
201901,PL654732,7,6.0,XXXX,C01,F,2017-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,6.0,6.0,8.0,3.0,1.0,2019-04-30,21.0,,18,2019-01-01
201810,GD260951,10,9.0,XXXXXX,C01,M,2018-08-07,,CA1,0.0,オールタイム,10500.0,通常,7.625,8.0,10.0,5.0,1.0,2019-04-30,8.0,,1,2018-10-01
201805,HD006808,7,6.0,XXXXX,C02,F,2016-07-01,,CA2,0.0,デイタイム,7500.0,入会費半額,4.916666666666667,5.0,7.0,2.0,1.0,2019-04-30,33.0,,22,2018-05-01
201901,HI635804,3,3.0,XX,C01,F,2017-09-01,,CA1,0.0,オールタイム,10500.0,通常,5.583333333333333,6.0,10.0,3.0,1.0,2019-04-30,19.0,,16,2019-01-01
201901,GD699747,7,7.0,XXXX,C01,M,2017-08-01,,CA2,0.0,オールタイム,10500.0,入会費半額,5.333333333333333,5.5,7.0,2.0,1.0,2019-04-30,20.0,,17,2019-01-01
201806,TS736914,7,9.0,XXXX,C01,M,2018-05-12,,CA2,0.0,オールタイム,10500.0,入会費半額,7.363636363636363,7.0,10.0,4.0,1.0,2019-04-30,11.0,,0,2018-06-01
201806,OA346394,3,2.0,XXXXX,C02,M,2017-04-01,,CA1,0.0,デイタイム,7500.0,通常,4.583333333333333,4.5,8.0,2.0,1.0,2019-04-30,24.0,,14,2018-06-01
201807,HI527630,6,10.0,XXX,C03,M,2017-01-01,,CA1,0.0,ナイト,6000.0,通常,5.416666666666667,5.0,10.0,2.0,1.0,2019-04-30,27.0,,18,2018-07-01
201812,TS037478,6,6.0,XXXX,C02,M,2018-01-01,,CA1,0.0,デイタイム,7500.0,通常,7.333333333333333,7.5,12.0,5.0,1.0,2019-04-30,15.0,,11,2018-12-01
201805,AS589687,12,8.0,XX,C01,M,2017-12-01,,CA3,0.0,オールタイム,10500.0,入会費無料,7.166666666666667,7.5,12.0,3.0,1.0,2019-04-30,16.0,,5,2018-05-01
201808,PL407221,7,11.0,XXXX,C03,M,2018-02-01,,CA1,0.0,ナイト,6000.0,通常,7.0,7.0,11.0,4.0,1.0,2019-04-30,14.0,,6,2018-08-01
201902,TS922639,4,7.0,XXXXX,C03,F,2015-10-01,,CA1,0.0,ナイト,6000.0,通常,4.666666666666667,5.0,7.0,2.0,1.0,2019-04-30,42.0,,40,2019-02-01
201903,TS949361,9,8.0,XXXX,C03,M,2018-06-13,,CA2,0.0,ナイト,6000.0,入会費半額,7.9,8.0,11.0,5.0,1.0,2019-04-30,10.0,,8,2019-03-01
201808,HI990855,4,3.0,XXXXX,C01,M,2016-03-01,,CA1,0.0,オールタイム,10500.0,通常,4.5,4.5,7.0,1.0,1.0,2019-04-30,37.0,,29,2018-08-01
201901,AS265381,9,10.0,XXXXX,C01,M,2018-12-04,,CA3,0.0,オールタイム,10500.0,入会費無料,9.0,9.5,10.0,7.0,1.0,2019-04-30,4.0,,0,2019-01-01
201809,HI933949,5,2.0,XXXXX,C01,F,2016-01-01,,CA1,0.0,オールタイム,10500.0,通常,4.166666666666667,4.0,7.0,2.0,1.0,2019-04-30,39.0,,32,2018-09-01
201901,IK250551,7,7.0,XXXXX,C01,M,2017-02-01,,CA1,0.0,オールタイム,10500.0,通常,6.0,6.5,8.0,2.0,1.0,2019-04-30,26.0,,23,2019-01-01
201903,GD121504,9,8.0,XXX,C03,M,2018-12-13,,CA3,0.0,ナイト,6000.0,入会費無料,9.25,8.5,12.0,8.0,1.0,2019-04-30,4.0,,2,2019-03-01
201807,TS885968,6,8.0,XXXXX,C01,F,2017-06-01,,CA1,0.0,オールタイム,10500.0,通常,6.083333333333333,6.0,10.0,3.0,1.0,2019-04-30,22.0,,13,2018-07-01
201812,HD619719,4,4.0,XXX,C03,F,2016-08-01,,CA1,0.0,ナイト,6000.0,通常,4.166666666666667,4.0,7.0,2.0,1.0,2019-04-30,32.0,,28,2018-12-01
201903,GD877201,6,5.0,XXXX,C01,M,2017-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,6.416666666666667,6.5,9.0,4.0,1.0,2019-04-30,21.0,,20,2019-03-01
201807,HI173027,4,3.0,XXXX,C02,F,2016-04-01,,CA1,0.0,デイタイム,7500.0,通常,4.416666666666667,4.0,8.0,2.0,1.0,2019-04-30,36.0,,27,2018-07-01
201808,PL081925,4,5.0,XXXXX,C01,F,2015-10-01,,CA1,0.0,オールタイム,10500.0,通常,4.25,4.5,7.0,2.0,1.0,2019-04-30,42.0,,34,2018-08-01
201806,HI245631,5,4.0,XXXXX,C03,M,2016-08-01,,CA1,0.0,ナイト,6000.0,通常,4.583333333333333,4.5,8.0,1.0,1.0,2019-04-30,32.0,,22,2018-06-01
201902,HI879414,3,6.0,XXXXX,C01,M,2016-03-01,,CA1,0.0,オールタイム,10500.0,通常,4.25,4.0,6.0,2.0,1.0,2019-04-30,37.0,,35,2019-02-01
201806,OA570624,9,10.0,XXXX,C01,M,2017-11-01,,CA1,0.0,オールタイム,10500.0,通常,7.333333333333333,7.5,10.0,3.0,1.0,2019-04-30,17.0,,7,2018-06-01
201812,HD661448,6,3.0,XXXXX,C03,F,2015-05-01,,CA1,0.0,ナイト,6000.0,通常,3.9166666666666665,4.0,6.0,1.0,1.0,2019-04-30,47.0,,43,2018-12-01
201903,IK979398,9,6.0,XXXXX,C02,F,2017-04-01,,CA1,0.0,デイタイム,7500.0,通常,6.083333333333333,6.0,9.0,4.0,1.0,2019-04-30,24.0,,23,2019-03-01
201810,IK216492,2,3.0,XXXXX,C02,F,2017-08-01,,CA2,0.0,デイタイム,7500.0,入会費半額,5.333333333333333,5.0,8.0,2.0,1.0,2019-04-30,20.0,,14,2018-10-01
201807,HD465982,9,14.0,XXXX,C02,F,2018-03-01,,CA1,0.0,デイタイム,7500.0,通常,7.5,7.5,14.0,3.0,1.0,2019-04-30,13.0,,4,2018-07-01
201805,IK929378,4,7.0,XXXXX,C02,F,2017-02-01,,CA1,0.0,デイタイム,7500.0,通常,6.333333333333333,6.0,9.0,4.0,1.0,2019-04-30,26.0,,15,2018-05-01
201810,IK297680,8,7.0,XXXXX,C03,M,2017-07-01,,CA2,0.0,ナイト,6000.0,入会費半額,7.0,7.5,9.0,4.0,1.0,2019-04-30,21.0,,15,2018-10-01
201805,TS333555,4,5.0,XXXXX,C03,M,2016-01-01,,CA1,0.0,ナイト,6000.0,通常,4.666666666666667,4.5,7.0,3.0,1.0,2019-04-30,39.0,,28,2018-05-01
201901,OA822905,3,7.0,XXXX,C01,F,2016-07-01,,CA2,0.0,オールタイム,10500.0,入会費半額,5.333333333333333,6.0,7.0,3.0,1.0,2019-04-30,33.0,,30,2019-01-01
201903,GD575423,4,8.0,XXXXX,C02,M,2017-12-01,,CA3,0.0,デイタイム,7500.0,入会費無料,7.0,7.0,10.0,4.0,1.0,2019-04-30,16.0,,15,2019-03-01
201811,HI337186,5,3.0,XXXXX,C02,F,2015-11-01,,CA1,0.0,デイタイム,7500.0,通常,3.9166666666666665,3.5,7.0,2.0,1.0,2019-04-30,41.0,,36,2018-11-01
201808,TS466629,5,7.0,XXXXX,C03,M,2018-06-12,,CA2,0.0,ナイト,6000.0,入会費半額,8.5,8.0,11.0,5.0,1.0,2019-04-30,10.0,,1,2018-08-01
201809,AS716291,4,5.0,XXXXX,C03,M,2017-04-01,,CA1,0.0,ナイト,6000.0,通常,5.166666666666667,5.0,8.0,2.0,1.0,2019-04-30,24.0,,17,2018-09-01
201812,HD513936,4,3.0,XXXXXX,C01,M,2015-12-01,,CA1,0.0,オールタイム,10500.0,通常,4.916666666666667,5.0,7.0,2.0,1.0,2019-04-30,40.0,,36,2018-12-01
201807,AS099984,5,4.0,XXX,C01,F,2015-06-01,,CA1,0.0,オールタイム,10500.0,通常,4.5,4.5,7.0,2.0,1.0,2019-04-30,46.0,,37,2018-07-01
201807,PL270733,8,7.0,XXXX,C01,F,2018-01-01,,CA1,0.0,オールタイム,10500.0,通常,6.666666666666667,7.0,8.0,3.0,1.0,2019-04-30,15.0,,6,2018-07-01
201806,TS953790,8,10.0,XXXXX,C02,F,2018-01-01,,CA1,0.0,デイタイム,7500.0,通常,8.166666666666666,8.0,11.0,6.0,1.0,2019-04-30,15.0,,5,2018-06-01
201810,HD140190,3,3.0,XXX,C01,F,2017-08-01,,CA2,0.0,オールタイム,10500.0,入会費半額,4.833333333333333,4.5,8.0,3.0,1.0,2019-04-30,20.0,,14,2018-10-01
201806,GD749335,6,5.0,XXXX,C01,F,2016-09-01,,CA1,0.0,オールタイム,10500.0,通常,4.833333333333333,5.0,9.0,1.0,1.0,2019-04-30,31.0,,21,2018-06-01
